m49_code,country,region,cpc_code,commodity,year,loss_percentage,loss_percentage_original,loss_quantity,activity,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,url,notes
398,Kazakhstan,,21111.01,"Meat of cattle, fresh or chilled",2001,1.15,1.15%,3300,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
398,Kazakhstan,,231,"Hen eggs in shell, fresh",2000,2.39,2.39%,2240,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
398,Kazakhstan,,21111.01,"Meat of cattle, fresh or chilled",2000,0.78,0.78%,2400,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
400,Jordan,,21121,"Meat of chickens, fresh or chilled",2013,5,5,,,Farm,,,,Expert Opinion,Al-Sharafat et al (2013),http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf,Sourced from Al-Sharafat et al (2013)
404,Kenya,,22290,Dairy products n.e.c.,2012,0.1,0.1,,,Processing,,Milk rejected by the processor,,Expert Opinion,Hezekiah G. Muriuki & Joyce M. Kiio-Mutua,http://www.fao.org/fileadmin/user_upload/save-food/PDF/Kenya_Food_Loss_Studies.pdf,
404,Kenya,,22290,Dairy products n.e.c.,2012,0.1,0.1,,,Trader,,Transport 50 - 300 ltr of milk per day on motorbikes,,Expert Opinion,Hezekiah G. Muriuki & Joyce M. Kiio-Mutua,http://www.fao.org/fileadmin/user_upload/save-food/PDF/Kenya_Food_Loss_Studies.pdf,
404,Kenya,,22290,Dairy products n.e.c.,2012,0.6,0.6,,,Wholesale,,"With milk cooling system, but expensive and unreliable power supply",,Expert Opinion,Hezekiah G. Muriuki & Joyce M. Kiio-Mutua,http://www.fao.org/fileadmin/user_upload/save-food/PDF/Kenya_Food_Loss_Studies.pdf,
404,Kenya,,22290,Dairy products n.e.c.,2012,0.2,0.2,,,Wholesale,,aluminium milk containers and cooling facility,,Expert Opinion,Hezekiah G. Muriuki & Joyce M. Kiio-Mutua,http://www.fao.org/fileadmin/user_upload/save-food/PDF/Kenya_Food_Loss_Studies.pdf,
404,Kenya,,22290,Dairy products n.e.c.,2012,0.6,0.6,,,Wholesale,,No cooling facility,,Expert Opinion,Hezekiah G. Muriuki & Joyce M. Kiio-Mutua,http://www.fao.org/fileadmin/user_upload/save-food/PDF/Kenya_Food_Loss_Studies.pdf,
404,Kenya,,22290,Dairy products n.e.c.,2012,6,6,,,Farm,,Mainly spoilage of evening milk,,Expert Opinion,Hezekiah G. Muriuki & Joyce M. Kiio-Mutua,http://www.fao.org/fileadmin/user_upload/save-food/PDF/Kenya_Food_Loss_Studies.pdf,
440,Lithuania,,231,"Hen eggs in shell, fresh",2007,0.02,0.02%,12,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
440,Lithuania,,231,"Hen eggs in shell, fresh",2006,0.02,0.02%,10,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
440,Lithuania,,231,"Hen eggs in shell, fresh",2005,0.03,0.03%,18,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
440,Lithuania,,231,"Hen eggs in shell, fresh",2004,0.03,0.03%,18,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
440,Lithuania,,231,"Hen eggs in shell, fresh",2003,0.02,0.02%,11,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
440,Lithuania,,231,"Hen eggs in shell, fresh",2002,0.02,0.02%,11,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
440,Lithuania,,231,"Hen eggs in shell, fresh",2001,0.02,0.02%,11,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
440,Lithuania,,231,"Hen eggs in shell, fresh",2000,0.07,0.07%,28,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
480,Mauritius,,231,"Hen eggs in shell, fresh",2011,1,1%,105,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
480,Mauritius,,231,"Hen eggs in shell, fresh",2010,1.02,1.02%,102,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
480,Mauritius,,231,"Hen eggs in shell, fresh",2009,0.94,0.94%,94,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
480,Mauritius,,231,"Hen eggs in shell, fresh",2008,0.93,0.93%,102,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
480,Mauritius,,231,"Hen eggs in shell, fresh",2007,1,1%,117,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
480,Mauritius,,231,"Hen eggs in shell, fresh",2006,1,1%,122,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,,
