m49_code,country,region,cpc_code,commodity,year,loss_percentage,loss_percentage_original,loss_quantity,activity,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,url,notes
356,India,,1372,"Cashew nuts, in shell",2014,0.57,0.57,,Collection,Farm,,,3 agro-climatic zones,Survey,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2014,0.01,0.01,,Drying,Farm,,,2 agro-climatic zones,Survey,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2014,0.26,0.26,,Retailing,Storage,,,2 agro-climatic zones,Survey,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2014,0.03,0.03,,Storage,Storage,,,2 agro-climatic zones,Survey,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2014,0.92,0.92,,Collection,Farm,,,2 agro-climatic zones,Survey,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2014,0.31,0.31,,Transportation,Transport,,,2 agro-climatic zones,Survey,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2014,1.07,1.07,,Threshing,Farm,,,2 agro-climatic zones,Survey,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2014,0.09,0.09,,Packaging,Farm,,,2 agro-climatic zones,Survey,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2014,2.48,2.48,,Harvesting,Harvest,,,2 agro-climatic zones,Survey,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
356,India,,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2014,0.45,0.45,,"Cleaning, Winnowing",Farm,,,2 agro-climatic zones,Survey,"S.N.Jha, P.K. Vishwakarma Tauqueer Ahmad ; ICAR-All India Coordinated Research Project on Post-Harvest Technology",http://www.ciphet.in/upload/sphl/MOFPI%20REPORT1.pdf,
